Bestand,Similarity,Pad 1,Pad 2,Nieuwste Versie,Tijdsverschil (uur),Datum 1,Datum 2
demo_orchestratie_main.cpp,0.9121,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/demo_orchestratie_main.cpp,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/demo_orchestratie_main.cpp,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/demo_orchestratie_main.cpp,4.1,2026-01-13 17:04:44,2026-01-13 13:00:31
demo_orchestratie_main.cpp,0.9121,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/demo_orchestratie_main.cpp,mess/zip/PluginAutoFit/legacy/src/demo/bak/demo_orchestratie_main.cpp,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/demo_orchestratie_main.cpp,4.1,2026-01-13 17:04:44,2026-01-13 13:00:31
h_merge_split.cu,0.9005,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/h_merge_split.cu,mess/zip/PluginAutoFit/legacy/src/bak/h_merge_split.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/h_merge_split.cu,5.2,2026-01-13 17:04:44,2026-01-13 11:52:37
h_merge_split.cu,0.9005,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/h_merge_split.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/bak/h_merge_split.cu,mess/zip/PluginAutoFit/legacy/src/chatGPT_src_old/h_merge_split.cu,5.2,2026-01-13 17:04:44,2026-01-13 11:52:37
voxelprocessor.cpp,0.8956,mess/zip/PluginAutoFit/src/voxelprocessor.cpp,mess/zip/PluginAutoFit/legacy/src/src/voxelprocessor.cpp,mess/zip/PluginAutoFit/src/voxelprocessor.cpp,0.0,2026-01-16 13:35:49,2026-01-16 13:35:29
voxelprocessor.cpp,0.8956,mess/zip/PluginAutoFit/PluginAutoFit/src/voxelprocessor.cpp,mess/zip/PluginAutoFit/legacy/src/src/voxelprocessor.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/voxelprocessor.cpp,0.0,2026-01-16 13:35:49,2026-01-16 13:35:29
pipe_fitting_detector.cpp,0.8848,mess/zip/PluginAutoFit/bak2/pipe_fitting_detector.cpp,mess/zip/PluginAutoFit/src/bak/pipe_fitting_detector.cpp,mess/zip/PluginAutoFit/bak2/pipe_fitting_detector.cpp,1.6,2026-01-16 15:12:29,2026-01-16 13:35:50
pipe_fitting_detector.cpp,0.879,mess/zip/PluginAutoFit/bak2/pipe_fitting_detector.cpp,mess/zip/PluginAutoFit/PluginAutoFit/src/pipe_fitting_detector.cpp,mess/zip/PluginAutoFit/bak2/pipe_fitting_detector.cpp,1.6,2026-01-16 15:12:29,2026-01-16 13:35:46
k_adaptive_rdv_voter.cu,0.877,mess/zip/PluginAutoFit/src/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/src/bak/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/src/k_adaptive_rdv_voter.cu,189.5,2026-01-13 17:12:58,2026-01-05 19:42:37
autofit.h,0.8252,mess/zip/PluginAutoFit/include/autofit.h,mess/zip/PluginAutoFit/PluginAutoFit/include/autofit.h,mess/zip/PluginAutoFit/include/autofit.h,3602.1,2026-01-16 15:12:29,2025-08-19 14:06:15
